instance	weak	medium	bounded_strong	source_runs	forced_local_optimum_share
E-n22-k4	0.527514777616247	0.0309868717206975	0.441498350663056	20	0.01427927141527
E-n23-k3	0.51988924420872	0.0323297714686842	0.447780984322596	20	0.00891864993091187
E-n30-k3	0.605911431513903	0.030875386199794	0.363213182286303	20	0.00966873368146214
E-n33-k4	0.627424033149171	0.0268922651933702	0.345683701657459	20	0.00887087942175008
E-n51-k5	0.634768412614621	0.0328073982833793	0.332424189102	20	0.00989198188083162
E-n76-k7	0.610239750352232	0.034978633225044	0.354781616422724	20	0.00591489952773405
E-n101-k8	0.645240104837635	0.0372706676735818	0.317489227488783	20	0.00458771377087963
X-n143-k7	0.803682033096927	0.0376004728132388	0.158717494089835	20	0.00113936231131157
X-n214-k11	0.822437161610856	0.0444964174933354	0.133066420895808	20	0.000416051669654974
X-n351-k40	0.862353287619368	0.0342228193301869	0.103423893050445	20	0.000232662816991902
X-n459-k26	0.854655656635965	0.091119065347945	0.0542252780160901	20	0.000177016751853871
X-n573-k30	0.855787756316251	0.0284117979264617	0.115800445757288	20	0.000111543082353652
X-n685-k75	0.894254117875953	0.028582243402107	0.07716363872194	20	0.000102881748964791
X-n749-k98	0.883110758646798	0.0192382691391386	0.0976509722140633	20	8.36216922011962e-05
X-n819-k171	0.858850802637457	0.0173007570257397	0.123848440336804	20	8.76500139893384e-05
X-n916-k207	0.858466111721987	0.0169950066127888	0.124538881665224	20	7.28120247839591e-05
X-n1001-k43	0.882771754420135	0.0318262220506144	0.085402023529251	20	6.83347171113548e-05
E-n29-k4-s7	0.527181812436805	0.0304837588473205	0.442334428715875	20	0.0150552024088324
E-n30-k3-s7	0.518282243377935	0.0339690952116116	0.447748661410454	20	0.00865927223195174
E-n35-k3-s5	0.605977244217522	0.0330553049142807	0.360967450868197	20	0.010205304144203
E-n37-k4-s4	0.616112776879484	0.0285160358550101	0.355371187265506	20	0.0104237867395762
E-n60-k5-s9	0.62640105868907	0.032763218575181	0.340835722735749	20	0.00987681281702584
E-n89-k7-s13	0.633569506016466	0.0327936985433819	0.333636795440152	20	0.00586314091213159
E-n112-k8-s11	0.652008372161511	0.0371593550490655	0.310832272789423	20	0.00449186438548363
M-n110-k10-s9	0.509515994970269	0.0481873787856184	0.442296626244112	20	0.00523660108548168
M-n126-k7-s5	0.830846039428214	0.0538486772629431	0.115305283308842	20	0.0012432228645291
M-n163-k12-s12	0.719099491648511	0.0360967778924435	0.244803730459045	20	0.00262277083539826
M-n212-k16-s12	0.772213047290646	0.0346758619205672	0.193111090788787	20	0.00162731745042858
F-n49-k4-s4	0.668817468608534	0.027458571457834	0.303723959933632	20	0.00531784841075795
F-n80-k4-s8	0.67000835421888	0.0341867741248546	0.295804871656265	20	0.00636413945766464
F-n140-k5-s5	0.665209439264844	0.0355979836731052	0.299192577062051	20	0.00225509250330104
X-n147-k7-s4	0.80001675452821	0.0386610738455831	0.161322171626206	20	0.00105800497322112
X-n221-k11-s7	0.824653438342834	0.0438467417985178	0.131499819858648	20	0.000424078218871481
X-n360-k40-s9	0.864180477871469	0.0309279520354205	0.104891570093111	20	0.000219679350656717
X-n469-k26-s10	0.861455629872799	0.0819055908220833	0.056638779305118	20	0.000176564248892532
X-n577-k30-s4	0.859288826913021	0.0258450990645517	0.114866074022428	20	0.000115029471945009
X-n698-k75-s13	0.890667347142844	0.0317895354711194	0.0775431173860365	20	9.73869143150973e-05
X-n759-k98-s10	0.881994297241073	0.0188397647493081	0.0991659380096187	20	8.0387137539367e-05
X-n830-k171-s11	0.858436814072357	0.0173724846121967	0.124190701315446	20	8.95303239207119e-05
X-n920-k207-s4	0.858333821755505	0.01696059152546	0.124705586719035	20	7.12402185074367e-05
X-n1006-k43-s5	0.88334801916355	0.0297583548757929	0.0868936259606575	20	6.82698608403495e-05
C101-5	0.130090759260502	0.125504321691985	0.744404919047512	20	0.0450311222527668
C103-5	0.157789194692948	0.129310813856784	0.712899991450268	20	0.046737350611631
C206-5	0.139827971351588	0.0483729820601985	0.811799046588214	20	0.0517960476034502
C208-5	0.296274276654776	0.306823886907121	0.396901836438103	20	0.0527501407921907
R104-5	0.173277629006039	0.165188983736326	0.661533387257635	20	0.048096402114029
R105-5	0.166271375853225	0.047885127149645	0.78584349699713	20	0.0584044937015504
R202-5	0.0983595451246068	0.0710960561335592	0.830544398741834	20	0.0496928114193216
R203-5	0.137320115468865	0.157575368070395	0.70510451646074	20	0.102015591860683
RC105-5	0.170067209994879	0.0465475053900772	0.783385284615044	20	0.0972545662100457
RC108-5	0.157092103299	0.0658605762054038	0.777047320495596	20	0.0592771923517649
RC204-5	0.406375754174267	0.262090641223516	0.331533604602217	20	0.104198089492207
RC208-5	0.138898594611383	0.0769857908222688	0.784115614566348	20	0.0575536936079909
C101-10	0.232126024218693	0.0429899934740048	0.724883982307302	20	0.0175076139419737
C104-10	0.292936531884933	0.0467209816938242	0.660342486421243	20	0.0207217522993388
C202-10	0.330388633233684	0.0407695408283229	0.628841825937993	20	0.027107400205879
C205-10	0.285170977279972	0.039163744682722	0.675665278037306	20	0.0185444895141106
R102-10	0.30764622418414	0.0387408691996427	0.653612906616217	20	0.0117987972704895
R103-10	0.244564147118448	0.0415638575152042	0.713871995366348	20	0.0183536314945587
R201-10	0.317787439067999	0.0520298119812546	0.630182748950746	20	0.0228863040779734
R203-10	0.294122850470597	0.03416247965466	0.671714669874743	20	0.021822272215973
RC102-10	0.27728011795716	0.0365889374766459	0.686130944566194	20	0.0197594416670791
RC108-10	0.303963357079694	0.0437568929029181	0.652279750017387	20	0.0262574858989367
RC201-10	0.334919190520464	0.0401376827362466	0.624943126743289	20	0.0221770878669181
RC205-10	0.317903839042752	0.038456797732035	0.643639363225213	20	0.0227837076569565
C103-15	0.385171274038462	0.0402794471153846	0.574549278846154	20	0.0116857469523513
C106-15	0.431640010397997	0.0408942277434978	0.527465761858505	20	0.0108936884269785
C202-15	0.453603698024117	0.0373112099114107	0.509085092064473	20	0.0232119572831018
C208-15	0.427141110610643	0.0417347661025674	0.53112412328679	20	0.005884986886714
R102-15	0.416764960289376	0.0388849571439805	0.544350082566643	20	0.028661994691516
R105-15	0.452922321831021	0.0514724295086893	0.495605248660289	20	0.00945057670842118
R202-15	0.445328539246041	0.0340801899879038	0.520591270766055	20	0.016480937776274
R209-15	0.442512656541434	0.0335620392574829	0.523925304201084	20	0.0253213868328788
RC103-15	0.474968985836865	0.0471415279644371	0.477889486198697	20	0.0201952417731296
RC108-15	0.37970329852478	0.0406652301232112	0.579631471352008	20	0.00816527838667251
RC202-15	0.423001360132991	0.0339277618256007	0.543070878041409	20	0.0164982164090369
RC204-15	0.468142661329121	0.0346668119059938	0.497190526764885	20	0.0165159401140939
c101	0.518845885634589	0.0440899581589958	0.437064156206416	20	0.00556509075778853
c102	0.518845885634589	0.0440899581589958	0.437064156206416	20	0.00556509075778853
c103	0.518845885634589	0.0440899581589958	0.437064156206416	20	0.00556509075778853
c104	0.518845885634589	0.0440899581589958	0.437064156206416	20	0.00556509075778853
c105	0.518845885634589	0.0440899581589958	0.437064156206416	20	0.00556509075778853
c106	0.518845885634589	0.0440899581589958	0.437064156206416	20	0.00556509075778853
c107	0.518845885634589	0.0440899581589958	0.437064156206416	20	0.00556509075778853
c108	0.518845885634589	0.0440899581589958	0.437064156206416	20	0.00556509075778853
c109	0.518845885634589	0.0440899581589958	0.437064156206416	20	0.00556509075778853
c201	0.517051443337527	0.0416850838121791	0.441263472850294	20	0.0052088618298664
c202	0.517051443337527	0.0416850838121791	0.441263472850294	20	0.0052088618298664
