config	heatmap	gamma	elite_rho	ls_depth	ls_cost_penalty
gr-g1p00-r0p000	gamma_rho	1.00	0.000	d3	0.02
gr-g1p00-r0p025	gamma_rho	1.00	0.025	d3	0.02
gr-g1p00-r0p050	gamma_rho	1.00	0.050	d3	0.02
gr-g1p00-r0p100	gamma_rho	1.00	0.100	d3	0.02
gr-g1p00-r0p200	gamma_rho	1.00	0.200	d3	0.02
gr-g1p01-r0p000	gamma_rho	1.01	0.000	d3	0.02
gr-g1p01-r0p025	gamma_rho	1.01	0.025	d3	0.02
gr-g1p01-r0p050	gamma_rho	1.01	0.050	d3	0.02
gr-g1p01-r0p100	gamma_rho	1.01	0.100	d3	0.02
gr-g1p01-r0p200	gamma_rho	1.01	0.200	d3	0.02
gr-g1p02-r0p000	gamma_rho	1.02	0.000	d3	0.02
gr-g1p02-r0p025	gamma_rho	1.02	0.025	d3	0.02
gr-g1p02-r0p050	gamma_rho	1.02	0.050	d3	0.02
gr-g1p02-r0p100	both	1.02	0.100	d3	0.02
gr-g1p02-r0p200	gamma_rho	1.02	0.200	d3	0.02
gr-g1p03-r0p000	gamma_rho	1.03	0.000	d3	0.02
gr-g1p03-r0p025	gamma_rho	1.03	0.025	d3	0.02
gr-g1p03-r0p050	gamma_rho	1.03	0.050	d3	0.02
gr-g1p03-r0p100	gamma_rho	1.03	0.100	d3	0.02
gr-g1p03-r0p200	gamma_rho	1.03	0.200	d3	0.02
gr-g1p05-r0p000	gamma_rho	1.05	0.000	d3	0.02
gr-g1p05-r0p025	gamma_rho	1.05	0.025	d3	0.02
gr-g1p05-r0p050	gamma_rho	1.05	0.050	d3	0.02
gr-g1p05-r0p100	gamma_rho	1.05	0.100	d3	0.02
gr-g1p05-r0p200	gamma_rho	1.05	0.200	d3	0.02
gr-g1p10-r0p000	gamma_rho	1.10	0.000	d3	0.02
gr-g1p10-r0p025	gamma_rho	1.10	0.025	d3	0.02
gr-g1p10-r0p050	gamma_rho	1.10	0.050	d3	0.02
gr-g1p10-r0p100	gamma_rho	1.10	0.100	d3	0.02
gr-g1p10-r0p200	gamma_rho	1.10	0.200	d3	0.02
dc-d1-c0p000	depth_cost	1.02	0.100	d1	0.00
dc-d1-c0p010	depth_cost	1.02	0.100	d1	0.01
dc-d1-c0p020	depth_cost	1.02	0.100	d1	0.02
dc-d1-c0p050	depth_cost	1.02	0.100	d1	0.05
dc-d1-c0p100	depth_cost	1.02	0.100	d1	0.10
dc-d2-c0p000	depth_cost	1.02	0.100	d2	0.00
dc-d2-c0p010	depth_cost	1.02	0.100	d2	0.01
dc-d2-c0p020	depth_cost	1.02	0.100	d2	0.02
dc-d2-c0p050	depth_cost	1.02	0.100	d2	0.05
dc-d2-c0p100	depth_cost	1.02	0.100	d2	0.10
dc-d3-c0p000	depth_cost	1.02	0.100	d3	0.00
dc-d3-c0p010	depth_cost	1.02	0.100	d3	0.01
dc-d3-c0p050	depth_cost	1.02	0.100	d3	0.05
dc-d3-c0p100	depth_cost	1.02	0.100	d3	0.10
dc-d4-c0p000	depth_cost	1.02	0.100	d4	0.00
dc-d4-c0p010	depth_cost	1.02	0.100	d4	0.01
dc-d4-c0p020	depth_cost	1.02	0.100	d4	0.02
dc-d4-c0p050	depth_cost	1.02	0.100	d4	0.05
dc-d4-c0p100	depth_cost	1.02	0.100	d4	0.10
dc-d5-c0p000	depth_cost	1.02	0.100	d5	0.00
dc-d5-c0p010	depth_cost	1.02	0.100	d5	0.01
dc-d5-c0p020	depth_cost	1.02	0.100	d5	0.02
dc-d5-c0p050	depth_cost	1.02	0.100	d5	0.05
dc-d5-c0p100	depth_cost	1.02	0.100	d5	0.10
